AtcoCode,CommonName,Easting,Northing,Longitude,LocalityName,Latitude,ShortCommonName,Street,Status,Indicator,StopType,,
700000000158,Blackstaff Bar,331917,374210,-5.9596453339,Belfast Metro Ops,54.5988910073,,,active,,BusCoachTramOnStreetPoint,,
700000000159,Glenmillan,338793,375711,-5.8526254234,Belfast Metro Ops,54.610525855,,,active,,BusCoachTramOnStreetPoint,,
700000000160,Springfield Road,331852,374320,-5.9606009952,Belfast Metro Ops,54.5998954556,,,active,,BusCoachTramOnStreetPoint,,
700000000161,Old Holywood Road.,338887,375558,-5.8512440598,Belfast Metro Ops,54.6091266179,,,active,,BusCoachTramOnStreetPoint,,
700000000162,Elswick Street,331677,374506,-5.9632235407,Belfast Metro Ops,54.6016108138,,,active,,BusCoachTramOnStreetPoint,,
700000000163,82 Old Holywood Road,338901,375422,-5.8510918888,Belfast Metro Ops,54.6079019428,,,active,,BusCoachTramOnStreetPoint,,
700000000164,Pollard Street,331551,374567,-5.9651445676,Belfast Metro Ops,54.6021912083,,,active,,BusCoachTramOnStreetPoint,,
700000000165,Cairnburn Road,338709,375230,-5.8541517368,Belfast Metro Ops,54.6062310979,,,active,,BusCoachTramOnStreetPoint,,
700000000166,Springdale,331291,374410,-5.9692351999,Belfast Metro Ops,54.6008492934,,,active,,BusCoachTramOnStreetPoint,,
700000000167,C I Y M S,338315,375127,-5.8602929735,Belfast Metro Ops,54.6054143709,,,active,,BusCoachTramOnStreetPoint,,
700000000168,Farset Int.,331132,374252,-5.9717643164,Belfast Metro Ops,54.5994720961,,,active,,BusCoachTramOnStreetPoint,,
700000000169,Circular Road,338101,375003,-5.8636604706,Belfast Metro Ops,54.6043597143,,,active,,BusCoachTramOnStreetPoint,,
700000000170,West Circular (Springfield),331017,374232,-5.9735514033,Belfast Metro Ops,54.5993223371,,,active,,BusCoachTramOnStreetPoint,,
700000000171,Circular Road,337630,375190,-5.8708559865,Belfast Metro Ops,54.6061667304,,,active,,BusCoachTramOnStreetPoint,,
700000000172,Springfield Parade,330952,374459,-5.974455264,Belfast Metro Ops,54.601377036,,,active,,BusCoachTramOnStreetPoint,,
700000000173,Station Road,337594,375150,-5.8714269474,Belfast Metro Ops,54.605826177,,,active,,BusCoachTramOnStreetPoint,,
700000000174,West Circular Flats,330922,374747,-5.974790788,Belfast Metro Ops,54.6039702946,,,active,,BusCoachTramOnStreetPoint,,
700000000175,Clonaver,337465,374986,-5.8735030145,Belfast Metro Ops,54.6043803193,,,active,,BusCoachTramOnStreetPoint,,
700000000176,West Circular Crescent,330933,374888,-5.974557824,Belfast Metro Ops,54.6052332626,,,active,,BusCoachTramOnStreetPoint,,
700000000177,St Mark's,337331,374813,-5.875655977,Belfast Metro Ops,54.6028637167,,,active,,BusCoachTramOnStreetPoint,,
700000000178,Ballygomartin Bapist Church,330975,375110,-5.9738093023,Belfast Metro Ops,54.6072153742,,,active,,BusCoachTramOnStreetPoint,,
700000000179,Holywood Road (Park Avenue),337176,374609,-5.8781479593,Belfast Metro Ops,54.601074485,,,active,,BusCoachTramOnStreetPoint,,
700000000180,Twaddell Avenue,331369,375440,-5.9675683615,Belfast Metro Ops,54.6100757395,,,active,,BusCoachTramOnStreetPoint,,
700000000181,Strandtown,336849,374400,-5.8833014077,Belfast Metro Ops,54.5992868612,,,active,,BusCoachTramOnStreetPoint,,
700000000182,The Avenue,331370,375640,-5.9674634001,Belfast Metro Ops,54.6118709518,,,active,,BusCoachTramOnStreetPoint,,
700000000184,The Cabin,331525,375817,-5.9649867177,Belfast Metro Ops,54.6134196585,,,active,,BusCoachTramOnStreetPoint,,
700000000186,The Cabin,331456,375739,-5.966085952,Belfast Metro Ops,54.6127376744,,,active,,BusCoachTramOnStreetPoint,,
700000000187,Avoniel,335876,374033,-5.89850189,Belfast Metro Ops,54.596263,,,active,,BusCoachTramOnStreetPoint,,
700000000188,Woodvale Parade,331389,375607,-5.9671762838,Belfast Metro Ops,54.6115721448,,,active,,BusCoachTramOnStreetPoint,,
700000000189,Templemore Avenue,335652,373914,-5.9020319828,Belfast Metro Ops,54.5952527033,,,active,,BusCoachTramOnStreetPoint,,
700000000190,Central Station,334686,373876,-5.9169851673,Belfast Metro Ops,54.5951632234,,,active,,BusCoachTramOnStreetPoint,,
700000000191,Bretland House,334800,376850,-5.9138573793,Belfast Metro Ops,54.6218306643,,,active,,BusCoachTramOnStreetPoint,,
700000000192,School of Denistry RVH,332341,373625,-5.9533529457,Belfast Metro Ops,54.5935285728,,,active,,BusCoachTramOnStreetPoint,,
